,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Sex,-0.22779356340324092,-0.26667226065698774,0.33454258187528635,0.2179105081950749,-0.11948205360512276,0.07218939679856688,-0.13746501302326827,0.14473272216226846,0.0968767511457247,0.16960059541674677,0.06584725702543276,-0.25400657436927127,-0.03617347592790888,0.3610287666007193,0.267581559824896,0.28265344945241366,0.3850476344523513,0.22146791173183297
Age,0.23872764578740818,-0.1652827284425757,0.39437636920940305,-0.19938860678876186,-0.010574162278986603,-0.03892516221617781,0.0390709665764728,-0.19055654274189482,-0.07924554217921335,0.004101442318016367,-0.20413522964536812,-0.1414358991058437,0.16269565531655278,-0.34272552923344324,0.47176988287102384,-0.21517603175457134,-0.13079642294663213,0.35539019117880033
Number_of_diagnostics,0.24508185026147924,-0.2065112284937858,0.1926961728663101,-0.11389917804045921,-0.09267109595754298,0.060890132356759386,-0.19574462207498247,-0.041304563208104154,-0.2932700161027708,0.007841529238622294,0.3249187544107487,0.28324306642334784,-0.15223663378986185,0.3506830580698204,-0.2069656708612487,-0.5514033464505195,0.13488103811758348,0.08598949467902488
TIR,0.1155683664538506,0.15179754735035167,0.24745868669402826,-0.1618088640445084,0.20179594296120823,0.014138552560920463,0.10711105703991654,0.53632590862326,0.3324185975096508,0.25772716792667294,0.3463989502126213,0.045982261134121384,-0.09926862973464999,-0.3584380506062177,-0.20635966176833154,-0.013650391877144657,0.10087400730533766,0.20779883583696973
CV,-0.18091399429887442,0.21234713340636618,-0.07676139243551472,0.08759886377314119,0.22987322435000765,0.03449018710863014,0.019021545192497828,-0.1083732703267926,-0.37559479492615067,-0.21991968574007117,0.6223717703499594,-0.44401769664446206,0.203845842821683,-0.09899456266475559,0.05996472448485093,-0.025654117046286885,-0.009178277689546637,0.08822761234452882
Cardiovascular_Comorbidity,0.2959683409848614,-0.2566325110413139,0.18258507472866453,-0.16597260887017926,-0.047906375421264406,0.010868730330164113,-0.12590380882841717,0.057494356441325625,-0.29500851348735313,-0.07488024027888403,0.27433889541706113,0.22070728392937353,-0.08224207330778414,-0.10885728035532788,0.1116793576288862,0.6093794647253052,-0.23118131941438497,-0.2839503786147706
Potassium,0.03407874065914,-0.03102297879966102,0.14107363167336498,-0.10472362481459654,0.057447271916302146,0.21416159326030307,0.6853914075490137,-0.13706859100317625,0.21094643792533385,-0.40835799426207875,0.10559303979469657,0.000849132104491302,-0.37085912290840173,0.22034821647316036,0.11291746629145807,0.015320315973846706,-0.039681881725065225,0.01344854637008508
HDL_cholesterol,-0.2226740159251026,-0.11390118829922197,0.3915702257960428,0.2979733167069994,0.2976688188925624,-0.11412430428338154,0.030695535065641814,0.009321860382258266,-0.18738330696163255,-0.17474889218487544,-0.16044490676764972,0.2330036430035999,0.06257628971899928,-0.16041422337744235,-0.12223455474698901,0.012583081152765697,0.1034885514061161,-0.016934343625201253
GGT,0.0846144577696064,-0.06409970854097631,-0.02792160696823275,-0.1106417141453656,0.4439966762355342,-0.30856860301943645,-0.35259990543982106,-0.47106295953659255,0.4460808566927121,-0.043480299488686994,0.17720691372311223,0.0137700639030388,-0.13012741632789993,0.058701117136112806,0.09709158424414169,0.039461183715312244,0.1224681781277618,3.369820921871021e-05
Creatinine,0.4945284388759243,0.14721252358258108,-0.08842594567624709,0.3124765261528514,-0.0008082287143722681,0.009672354608552453,0.018933483788296714,-0.015066726662905093,-0.01012252913651301,-0.05302890353642245,-0.057718004249705156,-0.030269010969470198,0.09749661722336136,-0.08873714469429728,0.0396192067192771,-0.05720770512920431,-0.0584202537688903,0.16430546657763023
