feature,shap_importance,rank
PC8,2.918831660768329,1
PC9,2.568347883749579,2
PC2,1.6211173320551922,3
PC10,1.4528535387238282,4
PC12,1.2172098391546142,5
PC14,0.9717373495770565,6
PC5,0.9451053881829078,7
PC3,0.8162829228345122,8
PC16,0.6380861570842972,9
PC1,0.5490365298440907,10
PC7,0.5211193984818265,11
PC15,0.46336322691750426,12
PC4,0.4401232937397935,13
PC17,0.38839543470304977,14
PC11,0.34870637689103146,15
PC18,0.3237556376832058,16
PC6,0.25659090556444103,17
PC13,0.19882998942483682,18
