Component,Mean_Abs_Importance,Rank
PC8,0.11319490766729912,1
PC9,0.10573420304596653,2
PC2,0.050269016821431485,3
PC10,0.04663112248112593,4
PC5,0.034678496749849165,5
PC12,0.03174437434904518,6
PC16,0.027834891622181,7
PC14,0.025313899631201116,8
PC3,0.023143967364856303,9
PC7,0.019926149674378255,10
PC15,0.014513849990446253,11
PC11,0.014287530284176642,12
PC18,0.007022748393055601,13
PC17,0.006919608642344624,14
PC13,0.006392805754324687,15
PC1,0.004202465729284987,16
PC6,0.002970417079713164,17
PC4,0.002359729083698042,18
