index,true_label,predicted_label,predicted_proba,top_features
82,1,1,0.7363357380522277,"[('PC8', -0.11766196221818202), ('PC9', -0.10731153267771916), ('PC10', -0.051132706619408566)]"
64,1,0,0.4698586949862077,"[('PC8', 0.11443880207684784), ('PC9', 0.10607740271307954), ('PC2', 0.053087719565815206)]"
3,1,1,0.844304564850946,"[('PC8', -0.11730322721163038), ('PC9', -0.10853987726445312), ('PC2', -0.05368901601746438)]"
86,1,1,0.7126650055975653,"[('PC8', -0.1142778799310794), ('PC9', -0.10574138721229831), ('PC2', -0.050358298020689855)]"
53,1,1,0.5221858552915241,"[('PC8', -0.11256918631650974), ('PC9', -0.10283032786277925), ('PC2', -0.047931469292523746)]"
77,1,1,0.8118517763590114,"[('PC8', -0.11228155472659702), ('PC9', -0.0989635023866878), ('PC2', -0.052698773491316124)]"
9,1,1,0.8871498521439357,"[('PC8', -0.11594006542204448), ('PC9', -0.11320643492811837), ('PC2', -0.04714809561129657)]"
30,1,1,0.6349578069739183,"[('PC8', -0.10509952895540857), ('PC9', -0.10107938352891147), ('PC10', -0.05276863608572241)]"
93,1,1,0.915486618357488,"[('PC8', -0.11890249555352528), ('PC9', -0.11763548404849379), ('PC2', -0.044134983367404186)]"
10,1,0,0.26399336328976997,"[('PC8', 0.11127310088253277), ('PC9', 0.11026782954697956), ('PC10', 0.05403792441647238)]"
19,1,1,0.7847755130579748,"[('PC8', -0.11216016807997171), ('PC9', -0.11080869750307225), ('PC2', -0.05170681436253204)]"
18,1,1,0.9064846173273469,"[('PC8', -0.11569508599940358), ('PC9', -0.11185494158302482), ('PC2', -0.05510580970705695)]"
66,1,1,0.9021672012855296,"[('PC8', -0.1215820551695681), ('PC9', -0.10741027408242854), ('PC2', -0.05064583000614274)]"
24,1,1,0.9254369429826361,"[('PC8', -0.10977457815408166), ('PC9', -0.10873113823707302), ('PC2', -0.053791865586583915)]"
0,1,1,0.8744638995113427,"[('PC9', -0.11221710995289207), ('PC8', -0.11184912307485298), ('PC2', -0.04754083969903712)]"
108,1,0,0.4870867374934015,"[('PC8', 0.11233894883360478), ('PC9', 0.10289697462088569), ('PC2', 0.05435030058114127)]"
37,1,1,0.8290092589396366,"[('PC9', -0.11338678780863112), ('PC8', -0.11017495447117474), ('PC2', -0.05044549921242158)]"
11,1,0,0.36233558020981027,"[('PC8', 0.12076897518674731), ('PC9', 0.11138559225198055), ('PC2', 0.05081730443083023)]"
20,1,1,0.8007969774350266,"[('PC8', -0.11471408147391657), ('PC9', -0.10794899201294052), ('PC2', -0.048961436109342345)]"
80,1,0,0.44685228346785594,"[('PC8', 0.11873671715055746), ('PC9', 0.10535037209408984), ('PC2', 0.0505623888545119)]"
84,1,1,0.6347033861736836,"[('PC8', -0.11465049782302296), ('PC9', -0.11353803761920739), ('PC2', -0.04881714736358324)]"
69,1,1,0.6942886927945798,"[('PC8', -0.11302925017065277), ('PC9', -0.1030518805912728), ('PC2', -0.053298504703948174)]"
100,1,1,0.7705833333333334,"[('PC8', -0.10729783044202441), ('PC9', -0.10470857465430684), ('PC2', -0.05355939661412784)]"
88,1,1,0.8022889202376765,"[('PC9', -0.10780233376762835), ('PC8', -0.1074139114069491), ('PC2', -0.05828823737435299)]"
62,1,1,0.5051727326212319,"[('PC8', -0.11371519178231304), ('PC9', -0.10703517134460379), ('PC2', -0.05388958972856198)]"
45,0,1,0.6173718443940948,"[('PC8', -0.11289649231896845), ('PC9', -0.10447488024973553), ('PC2', -0.05107740831484375)]"
21,0,0,0.4964210748911152,"[('PC8', 0.11005825177466863), ('PC9', 0.10777964540158269), ('PC10', 0.046170987984141584)]"
103,0,1,0.7849835295208694,"[('PC8', -0.11888394014880606), ('PC9', -0.10275123340477352), ('PC2', -0.050862616461274865)]"
94,0,1,0.5355346284341993,"[('PC8', -0.11173831473339357), ('PC9', -0.10079900088188914), ('PC10', -0.04859934114911588)]"
55,0,0,0.08578929543486608,"[('PC8', 0.12162160756009976), ('PC9', 0.1106748055254425), ('PC2', 0.05579464414674778)]"
74,0,0,0.3971436777717146,"[('PC9', 0.10930887588529206), ('PC8', 0.10848242728643903), ('PC2', 0.05029019432297602)]"
48,0,0,0.17166113233865468,"[('PC8', 0.11328327009285233), ('PC9', 0.10559405733138968), ('PC2', 0.051493836333509055)]"
61,0,0,0.350244566143486,"[('PC8', 0.11184170432525334), ('PC9', 0.11175568820126022), ('PC2', 0.05064074321747947)]"
89,0,0,0.025157447659264316,"[('PC8', 0.11660137676868645), ('PC9', 0.10663946644851523), ('PC2', 0.04886672842564499)]"
7,0,0,0.22650112397877512,"[('PC8', 0.11442045853732358), ('PC9', 0.10528540284652897), ('PC2', 0.05038496967305672)]"
79,0,0,0.4350834540843569,"[('PC8', 0.11021119837148124), ('PC9', 0.10112670778336383), ('PC2', 0.05635990670969532)]"
39,0,0,0.19456980458448822,"[('PC8', 0.11456737085790132), ('PC9', 0.10667232107172897), ('PC2', 0.04849988086322751)]"
52,0,1,0.7856363636363636,"[('PC8', -0.06530397087705189), ('PC9', -0.05902152693127412), ('PC2', -0.03382544110049236)]"
67,0,1,0.8049565673009099,"[('PC8', -0.1206211298921921), ('PC9', -0.10203954717241022), ('PC2', -0.05319945596480777)]"
107,0,0,0.21602020891041748,"[('PC8', 0.11531007068717218), ('PC9', 0.09200368296872843), ('PC2', 0.05598368812791715)]"
72,0,0,0.28045193926778,"[('PC8', 0.1160573334262666), ('PC9', 0.1002200000243818), ('PC2', 0.04872125867568916)]"
33,0,0,0.3479391996127849,"[('PC8', 0.11112685261854617), ('PC9', 0.10838036773578577), ('PC10', 0.05508330832375015)]"
71,0,0,0.11268901720207618,"[('PC8', 0.1166738667599153), ('PC9', 0.10693276041730257), ('PC2', 0.04986878578152613)]"
47,0,0,0.1388761870479967,"[('PC8', 0.11333766562287588), ('PC9', 0.10374934609782502), ('PC2', 0.04997842286395564)]"
104,0,0,0.38455222732142486,"[('PC8', 0.11060409120154785), ('PC9', 0.10528680773889962), ('PC10', 0.052389639242862655)]"
22,0,0,0.0803638874307237,"[('PC8', 0.12076518799541396), ('PC9', 0.11079348114269717), ('PC2', 0.052904572664269525)]"
105,0,0,0.14495456627981484,"[('PC8', 0.11029211431857291), ('PC9', 0.10582633479536849), ('PC10', 0.047798900891604254)]"
26,0,0,0.28080212041009445,"[('PC8', 0.11444948590680519), ('PC9', 0.1075120987403606), ('PC2', 0.050619606679987196)]"
