Component,Mean_Abs_Importance,Rank
PC8,0.1907888677817795,1
PC9,0.18001798615722645,2
PC2,0.11512650972847487,3
PC10,0.09056562775981536,4
PC5,0.07185623757303515,5
PC12,0.06746946176465242,6
PC14,0.05840345227912274,7
PC3,0.04586524443897,8
PC16,0.044133149375892786,9
PC7,0.03703261647096031,10
PC4,0.02850676198795929,11
PC15,0.021793199357525318,12
PC11,0.019174446541012642,13
PC18,0.01764872447909758,14
PC17,0.016355278216489428,15
PC13,0.012040725995958713,16
PC1,0.01050972359879163,17
PC6,0.007420373419508892,18
