index,true_label,predicted_label,predicted_proba,top_features
17,1,1,0.9748365879058838,"[('PC9', -0.18115469144959775), ('PC8', -0.18051270461061908), ('PC2', -0.12009665034895145)]"
63,1,1,0.9981284737586975,"[('PC8', -0.19866397050972173), ('PC9', -0.18196790352512654), ('PC2', -0.10900647545232822)]"
81,1,1,0.9915018081665039,"[('PC8', -0.18934019371774904), ('PC9', -0.17542680244393466), ('PC2', -0.12410849443686482)]"
60,1,1,0.9960612654685974,"[('PC8', -0.20153327004758517), ('PC9', -0.19139822769457343), ('PC2', -0.10218136350842075)]"
27,1,1,0.9987970590591431,"[('PC9', -0.19442020053579917), ('PC8', -0.178795629905368), ('PC2', -0.10881469991672697)]"
18,1,1,0.9983417987823486,"[('PC8', -0.19228960267781367), ('PC9', -0.1655181121053005), ('PC2', -0.1184100761241105)]"
82,1,1,0.9680818319320679,"[('PC8', -0.18578424816898176), ('PC9', -0.1823270003796358), ('PC2', -0.12215960383867581)]"
31,1,1,0.9500723481178284,"[('PC8', -0.19875772285018545), ('PC9', -0.17510291028418917), ('PC2', -0.12088102559846158)]"
57,1,1,0.9810894131660461,"[('PC9', -0.18901282783598738), ('PC8', -0.17347454005508584), ('PC2', -0.12347627064677967)]"
13,1,1,0.9992129802703857,"[('PC8', -0.19303250439624356), ('PC9', -0.17750722886354645), ('PC2', -0.10981649465386199)]"
35,1,1,0.9249761700630188,"[('PC8', -0.18803469027037065), ('PC9', -0.1728050612606197), ('PC2', -0.12430272568456634)]"
10,1,0,0.09682490676641464,"[('PC9', 0.19243399519484192), ('PC8', 0.19125959696377856), ('PC2', 0.10214744852492844)]"
54,1,1,0.9991133809089661,"[('PC8', -0.18293177314422476), ('PC9', -0.18189680970938124), ('PC2', -0.10922535084643285)]"
40,1,1,0.7762024998664856,"[('PC8', -0.20137559573225655), ('PC9', -0.185180960892684), ('PC2', -0.10930724855737792)]"
0,1,1,0.9993202686309814,"[('PC8', -0.20671334417938186), ('PC9', -0.1748878832280038), ('PC2', -0.11599973400953581)]"
62,1,1,0.6378412842750549,"[('PC8', -0.19843275786250825), ('PC9', -0.1956142633193968), ('PC2', -0.09851324363443385)]"
29,1,1,0.9899877905845642,"[('PC8', -0.1762043076537207), ('PC9', -0.15935953428720068), ('PC2', -0.12356581019153424)]"
86,1,1,0.8687810301780701,"[('PC8', -0.19244674974581155), ('PC9', -0.18087109600739537), ('PC2', -0.12314955451104768)]"
3,1,1,0.9959123730659485,"[('PC8', -0.18599520723699703), ('PC9', -0.18003055710504945), ('PC2', -0.12790640609101664)]"
49,1,1,0.6513283848762512,"[('PC8', -0.18934064666826345), ('PC9', -0.17795708971116306), ('PC2', -0.11528843358810668)]"
32,1,0,0.052957791835069656,"[('PC8', 0.2004864064233587), ('PC9', 0.19529188136849598), ('PC2', 0.11193259064228554)]"
50,1,1,0.9747250080108643,"[('PC8', -0.1966798890134996), ('PC9', -0.18008411581032727), ('PC2', -0.12304601480762234)]"
76,1,1,0.9952778816223145,"[('PC8', -0.18081526360516584), ('PC9', -0.15758390695285915), ('PC2', -0.10450479604609521)]"
70,1,1,0.6516461372375488,"[('PC8', -0.19097594773587137), ('PC9', -0.16521400084455456), ('PC2', -0.09802896453087195)]"
93,1,1,0.9994768500328064,"[('PC9', -0.1928357870969273), ('PC8', -0.191195987856952), ('PC2', -0.11997884801393642)]"
