Component,Model_Importance,Permutation_Importance,Permutation_Std
PC8,0.14084734,0.11981981981981982,0.02674021996334383
PC9,0.102157556,0.07477477477477476,0.035365380948451375
PC12,0.057259716,0.03963963963963964,0.016216216216216214
PC2,0.07300024,0.03423423423423422,0.023423423423423417
PC14,0.04926955,0.0279279279279279,0.010996896951111428
PC10,0.06680244,0.02522522522522521,0.016513786288129145
PC11,0.044097442,0.015315315315315325,0.009909909909909895
PC3,0.037158005,0.014414414414414411,0.012220414384009474
PC16,0.055480346,0.011711711711711726,0.012120382024390733
PC7,0.0660342,0.004504504504504514,0.007263295268737448
PC4,0.03319572,0.0027027027027027085,0.010697605483817966
PC5,0.06398556,0.0027027027027027085,0.010697605483817967
PC15,0.0353001,0.0009009009009009028,0.00630630630630632
PC1,0.029832846,0.0009009009009009028,0.00630630630630632
PC13,0.03210266,0.0,0.0
PC18,0.04119361,0.0,0.010659603212792123
PC6,0.032439757,-0.00630630630630632,0.007036260969285289
PC17,0.039842892,-0.009009009009009028,0.005697797585888983
